,open_interest
2024-11-13 22:30:00,1772176.0
2024-11-13 22:35:00,1768816.0
2024-11-13 22:40:00,1769524.0
2024-11-13 22:45:00,1767691.0
2024-11-13 22:50:00,1766027.0
2024-11-13 22:55:00,1762610.0
2024-11-13 23:00:00,1759831.0
2024-11-14 09:00:00,1760590.0
2024-11-14 09:05:00,1764008.0
2024-11-14 09:10:00,1764420.0
2024-11-14 09:15:00,1765727.0
2024-11-14 09:20:00,1765184.0
2024-11-14 09:25:00,1762807.0
2024-11-14 09:30:00,1761463.0
2024-11-14 09:35:00,1761499.0
2024-11-14 09:40:00,1762391.0
2024-11-14 09:45:00,1762108.0
2024-11-14 09:50:00,1763311.0
2024-11-14 09:55:00,1771880.0
2024-11-14 10:00:00,1780801.0
2024-11-14 10:05:00,1780035.0
2024-11-14 10:10:00,1782690.0
2024-11-14 10:15:00,1783013.0
2024-11-14 10:30:00,1787308.0
2024-11-14 10:35:00,1794004.0
2024-11-14 10:40:00,1800511.0
2024-11-14 10:45:00,1804547.0
2024-11-14 10:50:00,1806109.0
2024-11-14 10:55:00,1806240.0
2024-11-14 11:00:00,1803158.0
2024-11-14 11:05:00,1802234.0
2024-11-14 11:10:00,1799262.0
2024-11-14 11:15:00,1793101.0
2024-11-14 11:20:00,1795257.0
2024-11-14 11:25:00,1797634.0
2024-11-14 11:30:00,1802995.0
2024-11-14 13:30:00,1808459.0
2024-11-14 13:35:00,1806875.0
2024-11-14 13:40:00,1805477.0
2024-11-14 13:45:00,1801892.0
2024-11-14 13:50:00,1801802.0
2024-11-14 13:55:00,1804032.0
2024-11-14 14:00:00,1808320.0
2024-11-14 14:05:00,1815624.0
2024-11-14 14:10:00,1823357.0
2024-11-14 14:15:00,1826917.0
2024-11-14 14:20:00,1827713.0
2024-11-14 14:25:00,1829731.0
2024-11-14 14:30:00,1828532.0
2024-11-14 14:35:00,1829151.0
2024-11-14 14:40:00,1828553.0
2024-11-14 14:45:00,1824805.0
2024-11-14 14:50:00,1823627.0
2024-11-14 14:55:00,1807785.0
2024-11-14 15:00:00,1804836.0
2024-11-14 21:00:00,1810834.0
2024-11-14 21:05:00,1814610.0
2024-11-14 21:10:00,1815722.0
2024-11-14 21:15:00,1815877.0
2024-11-14 21:20:00,1816547.0
2024-11-14 21:25:00,1815763.0
2024-11-14 21:30:00,1816394.0
2024-11-14 21:35:00,1815763.0
2024-11-14 21:40:00,1815796.0
2024-11-14 21:45:00,1819396.0
2024-11-14 21:50:00,1819118.0
2024-11-14 21:55:00,1818985.0
2024-11-14 22:00:00,1822440.0
2024-11-14 22:05:00,1822721.0
2024-11-14 22:10:00,1828066.0
2024-11-14 22:15:00,1835732.0
2024-11-14 22:20:00,1842251.0
2024-11-14 22:25:00,1834468.0
2024-11-14 22:30:00,1831980.0
2024-11-14 22:35:00,1830308.0
2024-11-14 22:40:00,1830613.0
2024-11-14 22:45:00,1833915.0
2024-11-14 22:50:00,1830487.0
2024-11-14 22:55:00,1828695.0
2024-11-14 23:00:00,1825000.0
2024-11-15 09:00:00,1825009.0
2024-11-15 09:05:00,1827292.0
2024-11-15 09:10:00,1830419.0
2024-11-15 09:15:00,1830103.0
2024-11-15 09:20:00,1834858.0
2024-11-15 09:25:00,1836050.0
2024-11-15 09:30:00,1839480.0
2024-11-15 09:35:00,1840723.0
2024-11-15 09:40:00,1833962.0
2024-11-15 09:45:00,1838512.0
2024-11-15 09:50:00,1842184.0
2024-11-15 09:55:00,1842868.0
2024-11-15 10:00:00,1844053.0
2024-11-15 10:05:00,1838467.0
2024-11-15 10:10:00,1837048.0
2024-11-15 10:15:00,1836819.0
2024-11-15 10:30:00,1835902.0
2024-11-15 10:35:00,1836326.0
2024-11-15 10:40:00,1838173.0
2024-11-15 10:45:00,1838426.0
2024-11-15 10:50:00,1833260.0
2024-11-15 10:55:00,1829125.0
2024-11-15 11:00:00,1822564.0
2024-11-15 11:05:00,1821484.0
2024-11-15 11:10:00,1820024.0
2024-11-15 11:15:00,1819490.0
2024-11-15 11:20:00,1820173.0
2024-11-15 11:25:00,1821533.0
2024-11-15 11:30:00,1820464.0
2024-11-15 13:30:00,1820184.0
2024-11-15 13:35:00,1823563.0
2024-11-15 13:40:00,1824080.0
2024-11-15 13:45:00,1821445.0
2024-11-15 13:50:00,1820297.0
2024-11-15 13:55:00,1820000.0
2024-11-15 14:00:00,1819822.0
2024-11-15 14:05:00,1827694.0
2024-11-15 14:10:00,1828594.0
