,vwap
2024-04-19 11:15:00,36730.0120156925
2024-04-19 11:30:00,36752.24723997676
2024-04-19 13:30:00,36685.54515877744
2024-04-19 13:45:00,36714.94027459121
2024-04-19 14:00:00,36738.90983876275
2024-04-19 14:15:00,36697.999962373484
2024-04-19 14:30:00,36711.196593186374
2024-04-19 14:45:00,36745.348802568646
2024-04-19 15:00:00,36731.26644312613
2024-04-19 21:00:00,36596.71342605309
2024-04-19 21:15:00,36620.805123099206
2024-04-19 21:30:00,36655.3674809282
2024-04-19 21:45:00,36632.88078312551
2024-04-19 22:00:00,36677.740217642975
2024-04-19 22:15:00,36697.075995028645
2024-04-19 22:30:00,36686.71055972721
2024-04-19 22:45:00,36742.353315717424
2024-04-19 23:00:00,36719.44699754902
2024-04-22 09:00:00,36716.422910398476
2024-04-22 09:15:00,36792.99935613106
2024-04-22 09:30:00,36734.48053969901
2024-04-22 09:45:00,36763.00589186089
2024-04-22 10:00:00,36857.20496673742
2024-04-22 10:15:00,36888.987866232615
2024-04-22 10:30:00,36874.46598979609
2024-04-22 10:45:00,36861.57581835112
2024-04-22 11:00:00,36778.108765564444
2024-04-22 11:15:00,36710.39786660128
2024-04-22 11:30:00,36694.30785868782
2024-04-22 13:30:00,36675.468395155185
2024-04-22 13:45:00,36685.121388108724
2024-04-22 14:00:00,36726.38977067078
2024-04-22 14:15:00,36684.7110822895
2024-04-22 14:30:00,36738.680216329376
2024-04-22 14:45:00,36716.34409882929
2024-04-22 15:00:00,36719.06976744186
2024-04-22 21:00:00,36704.02303000606
2024-04-22 21:15:00,36658.80838549907
2024-04-22 21:30:00,36694.64852062882
2024-04-22 21:45:00,36726.22644601016
2024-04-22 22:00:00,36721.033256439834
2024-04-22 22:15:00,36759.656758883706
2024-04-22 22:30:00,36753.35774111038
2024-04-22 22:45:00,36759.34147878448
2024-04-22 23:00:00,36703.67532598807
2024-04-23 09:00:00,36734.82540986667
2024-04-23 09:15:00,36796.523046350776
2024-04-23 09:30:00,36702.60215181597
2024-04-23 09:45:00,36688.412946671015
2024-04-23 10:00:00,36760.48094170404
2024-04-23 10:15:00,36756.901960784315
